Time,angry,disgust,fear,happy,sad,surprise,neutral
21:32:56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:32:57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21:32:58,10.40,0.01,15.89,12.76,13.97,0.21,46.77
21:32:59,0.11,0.00,91.57,0.11,0.05,8.13,0.02
21:33:00,1.72,0.00,77.07,3.65,16.71,0.00,0.84
21:33:01,63.20,0.05,14.31,7.20,10.33,0.04,4.88
21:33:02,86.38,0.06,1.25,8.96,1.84,0.00,1.51
21:33:03,42.94,0.25,8.84,44.58,3.09,0.00,0.30
21:33:04,11.25,0.05,1.09,86.11,0.94,0.00,0.56
21:33:05,8.23,0.06,0.66,90.79,0.19,0.00,0.07
21:33:06,0.07,0.00,0.01,99.92,0.00,0.00,0.00
21:33:07,25.30,0.23,9.51,62.00,2.45,0.00,0.51
21:33:08,1.06,0.01,6.75,91.72,0.11,0.00,0.34
21:33:09,0.00,0.00,0.10,97.67,0.01,0.00,2.22
21:33:10,0.06,0.00,0.00,99.94,0.00,0.00,0.00
21:33:11,0.04,1.14,0.45,79.16,4.00,0.01,15.20
21:33:12,0.03,0.65,6.67,59.59,0.76,0.06,32.24
21:33:13,15.73,0.04,2.95,2.76,70.28,0.01,8.24
21:33:14,15.21,0.22,7.74,0.00,63.48,0.00,13.34
21:33:15,99.94,0.00,0.01,0.00,0.04,0.00,0.02
21:33:16,0.71,0.00,11.79,2.06,6.17,0.04,79.23
21:33:17,0.68,0.00,37.37,0.00,61.75,0.00,0.20
21:33:18,10.42,0.00,6.31,13.33,3.66,0.33,65.96
21:33:19,0.48,0.00,0.83,2.49,8.01,0.00,88.19
21:33:20,0.04,0.00,0.04,0.01,0.90,0.00,99.01
21:33:21,0.45,0.00,0.09,2.11,1.91,0.00,95.44
21:33:22,3.24,0.00,2.77,60.74,9.07,0.12,24.06
21:33:23,3.47,0.00,0.66,24.63,2.85,0.01,68.38
21:33:24,1.64,0.00,0.60,1.38,1.55,0.03,94.79
21:33:25,7.23,0.00,20.86,0.01,15.59,0.01,56.28
21:33:26,4.51,0.00,0.33,87.50,0.92,0.07,6.68
21:33:27,0.51,0.00,0.01,99.44,0.02,0.00,0.03
21:33:28,1.32,0.00,0.52,97.23,0.10,0.02,0.81
21:33:29,6.21,0.00,0.07,93.09,0.41,0.00,0.21
21:33:30,36.39,0.01,0.14,57.84,2.37,0.01,3.24
21:33:31,34.62,0.01,2.54,9.01,38.21,0.02,15.59
21:33:32,3.33,0.00,4.44,0.54,9.94,81.56,0.19
21:33:33,5.39,0.00,0.60,0.08,20.98,0.00,72.95
21:33:34,96.71,0.00,2.83,0.02,0.43,0.00,0.01
21:33:35,63.95,0.61,15.19,5.86,0.79,0.25,13.35
21:33:36,0.00,0.00,0.00,99.92,0.00,0.00,0.08
21:33:37,0.00,0.00,0.00,78.89,0.00,0.00,21.10
21:33:38,0.00,0.00,0.00,99.90,0.00,0.00,0.10
21:33:39,0.18,0.00,0.03,70.50,15.87,0.00,13.41
21:33:40,0.18,0.00,0.03,70.50,15.87,0.00,13.41
21:33:41,0.05,0.00,0.03,98.41,0.11,0.86,0.55
21:33:42,0.04,0.00,0.01,7.98,91.68,0.00,0.28
21:33:43,0.39,0.01,0.29,2.99,91.13,0.00,5.19
21:33:44,0.08,0.00,0.02,0.62,99.00,0.00,0.28
21:33:45,0.08,0.00,0.02,0.62,99.00,0.00,0.28
21:33:46,5.93,0.11,23.08,68.01,2.62,0.11,0.15
21:33:47,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:48,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:49,11.67,0.02,2.76,81.18,3.51,0.05,0.83
21:33:50,0.63,0.01,4.00,0.17,93.60,0.00,1.59
21:33:51,1.13,0.00,2.23,11.19,10.46,0.05,74.94
21:33:52,17.55,0.00,0.00,76.87,1.62,0.01,3.94
21:33:53,52.64,0.00,0.03,46.97,0.07,0.23,0.05
21:33:54,0.45,0.00,1.90,0.94,12.03,0.03,84.64
21:33:55,0.02,0.00,0.01,22.42,77.53,0.02,0.00
21:33:56,1.77,0.00,0.03,15.22,10.01,0.02,72.94
21:33:57,0.76,0.00,5.53,0.64,87.63,0.00,5.44
21:33:58,1.30,0.01,7.46,36.83,18.56,0.23,35.61
21:34:00,19.92,10.32,35.36,2.83,27.87,3.08,0.62
21:34:01,22.21,0.67,19.11,5.14,52.83,0.00,0.06
21:34:02,22.21,0.67,19.11,5.14,52.83,0.00,0.06
21:34:03,4.72,0.00,86.26,1.48,1.29,1.09,5.15
21:34:04,4.72,0.00,86.26,1.48,1.29,1.09,5.15
21:34:05,4.72,0.00,86.26,1.48,1.29,1.09,5.15
21:34:06,4.72,0.00,86.26,1.48,1.29,1.09,5.15
21:34:07,4.72,0.00,86.26,1.48,1.29,1.09,5.15
21:34:08,0.10,0.02,5.18,0.70,87.87,0.00,6.13
21:34:09,3.46,0.01,0.60,0.08,55.07,0.00,40.78
21:34:10,3.46,0.01,0.60,0.08,55.07,0.00,40.78
21:34:11,3.46,0.01,0.60,0.08,55.07,0.00,40.78
21:34:12,0.05,0.00,0.00,94.60,0.78,0.00,4.56
21:34:13,0.00,0.00,0.01,16.54,83.31,0.00,0.14
21:34:14,0.01,0.00,0.07,4.67,0.09,0.08,95.09
21:34:15,2.20,0.00,0.01,14.67,5.89,0.01,77.23
21:34:16,12.32,0.00,13.53,46.76,24.61,0.66,2.11
21:34:17,0.01,0.01,51.94,0.06,45.02,0.00,2.96
21:34:18,1.35,0.00,3.33,0.01,93.65,0.00,1.65
21:34:19,9.24,0.00,2.35,0.02,74.60,0.00,13.79
21:34:20,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:21,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:22,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:23,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:24,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:25,1.93,0.00,0.84,0.05,80.32,0.00,16.87
21:34:26,0.01,0.00,0.15,0.52,0.93,0.03,98.36
21:34:27,1.07,0.02,3.05,0.15,93.33,0.00,2.38
21:34:28,9.91,0.16,1.79,37.82,44.93,0.00,5.39
21:34:29,2.51,0.01,0.38,7.36,68.08,0.00,21.65
21:34:30,0.03,0.00,2.76,89.67,0.43,2.37,4.74
21:34:31,0.59,0.00,17.58,2.52,71.06,0.00,8.25
21:34:32,0.37,0.00,0.12,93.61,5.88,0.00,0.02
21:34:33,0.37,0.00,0.12,93.61,5.88,0.00,0.02
21:34:34,3.78,0.63,4.96,44.79,7.76,3.44,34.65
21:34:35,12.36,0.03,0.18,1.99,34.89,0.07,50.48
21:34:36,0.00,0.00,0.00,99.91,0.00,0.00,0.09
21:34:37,0.85,0.00,0.00,98.44,0.34,0.00,0.36
21:34:38,0.01,0.00,0.00,26.71,0.21,0.00,73.08
21:34:39,0.00,0.00,0.00,87.71,0.02,0.00,12.27
21:34:40,0.00,0.00,0.00,87.71,0.02,0.00,12.27
21:34:41,0.00,0.00,0.00,87.71,0.02,0.00,12.27
21:34:42,0.00,0.00,0.00,87.71,0.02,0.00,12.27
21:34:43,0.00,0.00,0.00,87.71,0.02,0.00,12.27
21:34:44,0.04,0.00,1.62,19.99,1.47,0.01,76.87
21:34:45,1.01,0.00,0.79,1.48,9.43,0.00,87.29
21:34:46,4.01,0.00,0.14,0.38,18.88,0.00,76.58
21:34:47,34.26,0.02,5.00,3.94,26.99,0.01,29.78
21:34:48,3.49,0.00,1.04,0.41,17.50,0.03,77.53
21:34:49,1.59,0.00,1.35,0.37,12.39,0.01,84.29
21:34:50,0.62,0.00,0.03,0.47,11.43,0.00,87.45
21:34:51,2.54,0.08,0.83,7.94,13.54,0.03,75.04
21:34:52,1.21,0.00,0.00,1.93,2.22,0.00,94.65
21:34:53,0.05,0.00,0.00,1.03,0.19,0.00,98.72
21:34:54,0.98,0.00,0.08,21.53,4.93,0.03,72.45
21:34:55,0.77,0.00,0.01,2.40,1.54,0.00,95.28
21:34:56,0.85,0.01,0.02,14.53,1.85,0.01,82.74
21:34:57,3.56,0.20,5.28,0.20,62.03,0.00,28.74
21:34:58,1.99,0.01,0.36,0.04,48.49,0.00,49.11
21:34:59,4.31,0.03,10.83,0.27,70.93,0.00,13.63
21:35:00,8.86,0.02,3.69,0.18,72.58,0.01,14.67
21:35:01,8.86,0.02,3.69,0.18,72.58,0.01,14.67
21:35:02,8.86,0.02,3.69,0.18,72.58,0.01,14.67
21:35:03,0.63,0.00,1.90,64.89,14.82,0.33,17.44
21:35:04,0.02,0.00,0.06,89.93,1.83,0.09,8.08
21:35:05,0.02,0.00,0.03,90.73,1.28,0.06,7.88
21:35:06,0.05,0.00,1.29,53.65,18.05,0.03,26.93
21:35:07,0.22,0.00,0.37,30.36,34.10,0.09,34.86
21:35:08,3.50,0.00,4.99,1.37,70.40,0.01,19.74
21:35:09,3.42,0.00,33.72,0.55,0.06,62.10,0.14
21:35:10,0.29,0.00,2.57,69.83,0.12,26.55,0.64
21:35:11,0.38,0.00,0.27,95.21,0.19,3.85,0.10
21:35:12,0.08,0.00,0.00,99.60,0.01,0.02,0.29
21:35:13,0.01,0.00,0.00,99.71,0.00,0.03,0.24
21:35:14,8.48,0.00,5.66,44.27,21.03,0.80,19.76
21:35:15,0.07,0.00,0.03,97.42,0.24,0.37,1.86
21:35:16,1.48,0.00,1.91,84.23,0.57,2.85,8.96
21:35:17,0.32,0.00,0.88,86.57,0.89,1.52,9.83
21:35:18,0.97,0.00,0.82,67.88,0.58,0.84,28.91
21:35:19,0.00,0.00,0.04,99.94,0.01,0.01,0.01
21:35:20,15.03,0.52,1.20,0.26,81.73,0.00,1.26
21:35:21,1.58,0.61,22.62,0.08,72.72,0.02,2.37
21:35:22,0.01,0.00,17.87,0.01,21.35,0.00,60.76
21:35:23,0.00,0.00,0.00,0.00,99.97,0.00,0.03
21:35:24,0.04,0.00,69.29,0.13,9.98,0.35,20.21
21:35:25,0.00,0.00,0.00,99.97,0.00,0.00,0.03
21:35:26,0.00,0.00,0.00,94.24,0.00,0.00,5.76
21:35:27,0.00,0.00,0.05,0.00,27.01,0.00,72.94
21:35:28,0.00,0.00,0.21,0.03,49.52,0.00,50.24
21:35:29,0.00,0.00,0.00,99.63,0.00,0.00,0.37
21:35:30,0.00,0.00,0.00,95.35,0.00,0.00,4.65
21:35:31,0.00,0.00,0.00,99.45,0.00,0.00,0.55
21:35:32,0.00,0.00,0.00,95.90,0.00,0.01,4.09
21:35:33,0.00,0.00,0.02,87.17,0.06,0.08,12.67
21:35:34,0.00,0.00,0.00,82.69,0.01,0.19,17.11
21:35:35,0.00,0.00,0.00,99.87,0.00,0.00,0.13
21:35:36,0.00,0.00,0.00,97.79,0.00,0.01,2.20
21:35:37,0.00,0.00,0.03,0.00,96.93,0.00,3.04
21:35:38,0.00,0.00,0.06,0.00,94.21,0.00,5.73
21:35:39,0.00,0.00,0.00,97.26,0.00,0.00,2.74
21:35:40,0.00,0.00,5.09,0.10,0.13,93.25,1.43
21:35:41,0.13,0.00,2.43,0.02,7.86,84.56,5.00
21:35:42,0.20,0.00,33.67,0.01,17.79,47.90,0.43
21:35:43,0.03,0.00,74.77,0.31,2.07,22.77,0.05
21:35:44,0.04,0.00,0.01,0.00,98.62,0.00,1.34
21:35:45,0.00,0.00,0.00,0.00,99.99,0.00,0.01
21:35:46,0.17,0.00,95.64,0.47,0.92,2.80,0.00
21:35:47,0.00,0.00,0.72,0.00,99.21,0.00,0.07
21:35:48,0.02,0.00,0.06,0.00,79.73,0.00,20.19
21:35:49,0.03,0.00,0.17,0.00,12.24,0.00,87.55
21:35:50,0.00,0.00,0.80,0.00,72.87,0.00,26.32
21:35:51,0.01,0.00,86.13,0.15,0.00,13.70,0.00
21:35:52,0.01,0.00,66.03,0.08,0.00,33.88,0.00
21:35:53,0.00,0.00,79.15,0.10,0.00,20.74,0.00
21:35:54,0.01,0.00,0.32,0.00,20.88,0.00,78.79
21:35:55,0.04,0.00,1.45,0.00,80.72,0.00,17.79
21:35:56,0.01,0.00,0.99,0.00,58.20,0.00,40.80
21:35:57,0.71,0.00,0.04,0.00,99.16,0.00,0.09
21:35:58,0.00,0.00,0.99,0.00,20.14,0.00,78.87
21:35:59,0.76,0.00,62.15,1.40,35.48,0.18,0.03
21:36:00,0.63,0.00,90.46,5.17,1.77,1.97,0.00
21:36:01,1.21,0.00,63.07,2.66,33.03,0.03,0.00
21:36:02,6.54,0.00,65.88,7.79,7.55,12.22,0.01
21:36:03,0.00,0.00,0.06,0.00,39.04,0.00,60.90
21:36:04,14.64,0.01,33.57,3.45,47.40,0.85,0.07
21:36:05,1.73,0.00,10.56,75.55,11.31,0.80,0.04
21:36:06,1.25,0.00,17.91,23.15,56.08,1.48,0.12
21:36:07,5.57,0.00,2.47,2.39,88.36,0.06,1.14
21:36:08,0.00,0.00,0.00,93.16,0.07,0.00,6.77
21:36:09,3.55,0.00,3.67,0.17,39.96,0.00,52.65
21:36:10,0.36,0.03,0.74,52.54,25.22,0.35,20.77
21:36:11,0.51,0.05,43.14,0.00,54.98,0.00,1.33
21:36:12,0.51,0.05,43.14,0.00,54.98,0.00,1.33
21:36:13,0.51,0.05,43.14,0.00,54.98,0.00,1.33
21:36:14,5.30,12.17,17.47,0.73,59.07,0.02,5.24
21:36:15,0.75,0.00,0.05,12.56,0.33,0.01,86.30
21:36:16,33.94,0.04,38.90,0.04,25.32,0.81,0.95
21:36:17,33.94,0.04,38.90,0.04,25.32,0.81,0.95
21:36:18,0.27,0.03,1.77,5.08,6.98,0.43,85.45
21:36:19,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:20,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:21,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:22,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:23,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:24,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:25,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:26,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:27,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:28,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:29,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:30,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:31,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:32,0.06,0.00,5.27,93.18,0.93,0.53,0.04
21:36:33,0.03,0.00,0.01,99.78,0.00,0.13,0.05
21:36:34,0.08,0.00,0.14,99.25,0.02,0.00,0.52
21:36:35,0.08,0.00,0.14,99.25,0.02,0.00,0.52
21:36:36,0.08,0.00,0.14,99.25,0.02,0.00,0.52
21:36:37,0.08,0.00,0.14,99.25,0.02,0.00,0.52
21:36:38,0.08,0.00,0.14,99.25,0.02,0.00,0.52
21:36:39,5.03,0.06,20.79,0.57,21.75,0.02,51.78
21:36:40,5.03,0.06,20.79,0.57,21.75,0.02,51.78
21:36:41,5.03,0.06,20.79,0.57,21.75,0.02,51.78
21:36:42,5.03,0.06,20.79,0.57,21.75,0.02,51.78
21:36:43,0.23,0.00,29.04,0.70,57.62,0.01,12.40
21:36:44,57.89,0.23,20.86,0.00,16.89,1.72,2.41
21:36:45,5.33,0.55,52.27,0.51,20.30,0.72,20.32
21:36:46,43.19,0.03,7.74,0.59,33.29,0.00,15.17
21:36:47,34.29,0.00,2.94,8.35,6.62,0.01,47.79
21:36:48,34.29,0.00,2.94,8.35,6.62,0.01,47.79
21:36:49,34.29,0.00,2.94,8.35,6.62,0.01,47.79
21:36:50,34.29,0.00,2.94,8.35,6.62,0.01,47.79
21:36:51,0.53,0.02,1.59,9.08,17.54,0.02,71.23
21:36:52,0.53,0.02,1.59,9.08,17.54,0.02,71.23
21:36:53,0.00,0.00,0.01,89.04,0.06,0.01,10.88
21:36:54,0.00,0.00,0.00,98.59,0.00,0.00,1.41
21:36:55,0.00,0.00,0.00,97.68,0.02,0.00,2.30
21:36:56,0.00,0.00,0.00,97.68,0.02,0.00,2.30
21:36:57,0.00,0.00,0.00,97.68,0.02,0.00,2.30
21:36:58,58.67,1.13,3.49,9.04,10.57,3.33,13.77
21:36:59,1.15,0.00,1.76,3.18,70.95,22.93,0.02
21:37:00,0.04,0.00,0.05,62.44,0.20,0.05,37.22
21:37:01,0.00,0.00,0.07,0.00,99.92,0.00,0.01
21:37:02,4.58,0.00,14.15,11.96,0.46,11.21,57.64
21:37:03,0.45,0.00,6.01,0.00,0.06,0.04,93.43
21:37:04,1.87,0.00,24.20,0.09,1.08,0.30,72.46
21:37:05,0.16,0.00,0.02,16.20,0.61,0.01,83.00
21:37:06,0.68,0.02,31.88,0.68,57.89,0.00,8.85
21:37:07,0.00,0.00,0.00,99.51,0.02,0.00,0.47
21:37:08,25.59,0.00,0.28,27.03,3.31,0.02,43.77
21:37:09,34.17,0.03,4.16,0.05,23.65,0.00,37.93
21:37:10,3.71,0.00,40.05,10.89,14.73,0.02,30.60
21:37:11,81.25,0.01,13.88,0.28,4.31,0.08,0.18
21:37:12,2.20,0.00,25.53,42.04,29.30,0.06,0.87
21:37:13,0.00,0.00,1.43,1.80,0.00,0.01,96.76
21:37:14,0.23,0.00,0.00,99.47,0.01,0.27,0.03
21:37:15,1.45,0.00,98.54,0.00,0.01,0.00,0.00
21:37:16,25.79,0.00,5.92,63.60,2.73,0.13,1.83
21:37:17,0.01,0.00,92.29,1.67,1.04,0.98,3.99
21:37:18,0.05,0.00,0.01,1.69,0.28,0.14,97.84
21:37:19,0.36,0.00,0.13,0.06,7.33,0.03,92.08
21:37:20,2.84,0.00,0.04,0.00,20.54,0.02,76.56
21:37:21,1.72,0.00,0.30,0.07,0.70,6.47,90.74
21:37:22,52.76,0.00,1.34,0.66,24.57,0.02,20.65
21:37:23,22.90,0.00,1.59,0.06,27.39,0.00,48.06
21:37:24,1.40,0.00,98.07,0.00,0.42,0.00,0.12
21:37:25,36.35,0.00,6.10,0.00,14.98,0.01,42.56
21:37:26,42.45,0.02,27.37,0.00,18.93,0.46,10.76
21:37:27,4.98,0.00,4.86,0.00,68.68,0.00,21.48
